2018-06-11 00:18:50 upgrade libcurl3:armhf 7.52.1-5+deb9u5 7.52.1-5+deb9u6
2018-06-11 00:18:50 status half-configured libcurl3:armhf 7.52.1-5+deb9u5
2018-06-11 00:18:50 status unpacked libcurl3:armhf 7.52.1-5+deb9u5
2018-06-11 00:18:50 status half-installed libcurl3:armhf 7.52.1-5+deb9u5
2018-06-11 00:18:50 status half-installed libcurl3:armhf 7.52.1-5+deb9u5
2018-06-11 00:18:50 status unpacked libcurl3:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:50 status unpacked libcurl3:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:50 upgrade libcurl3-gnutls:armhf 7.52.1-5+deb9u5 7.52.1-5+deb9u6
2018-06-11 00:18:50 status half-configured libcurl3-gnutls:armhf 7.52.1-5+deb9u5
2018-06-11 00:18:50 status unpacked libcurl3-gnutls:armhf 7.52.1-5+deb9u5
2018-06-11 00:18:50 status half-installed libcurl3-gnutls:armhf 7.52.1-5+deb9u5
2018-06-11 00:18:51 status half-installed libcurl3-gnutls:armhf 7.52.1-5+deb9u5
2018-06-11 00:18:51 status unpacked libcurl3-gnutls:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:51 status unpacked libcurl3-gnutls:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:51 upgrade pi-bluetooth:all 0.1.7 0.1.8
2018-06-11 00:18:51 status half-configured pi-bluetooth:all 0.1.7
2018-06-11 00:18:51 status unpacked pi-bluetooth:all 0.1.7
2018-06-11 00:18:51 status half-installed pi-bluetooth:all 0.1.7
2018-06-11 00:18:51 status half-installed pi-bluetooth:all 0.1.7
2018-06-11 00:18:51 status unpacked pi-bluetooth:all 0.1.8
2018-06-11 00:18:51 status unpacked pi-bluetooth:all 0.1.8
2018-06-11 00:18:51 upgrade raspi-config:all 20180406+1 20180518
2018-06-11 00:18:51 status half-configured raspi-config:all 20180406+1
2018-06-11 00:18:51 status unpacked raspi-config:all 20180406+1
2018-06-11 00:18:51 status half-installed raspi-config:all 20180406+1
2018-06-11 00:18:52 status half-installed raspi-config:all 20180406+1
2018-06-11 00:18:52 status unpacked raspi-config:all 20180518
2018-06-11 00:18:52 status unpacked raspi-config:all 20180518
2018-06-11 00:18:52 startup packages configure
2018-06-11 00:18:52 configure bluez-firmware:all 1.2-3+rpt6 <none>
2018-06-11 00:18:52 status unpacked bluez-firmware:all 1.2-3+rpt6
2018-06-11 00:18:52 status half-configured bluez-firmware:all 1.2-3+rpt6
2018-06-11 00:18:52 status installed bluez-firmware:all 1.2-3+rpt6
2018-06-11 00:18:52 configure libcurl3:armhf 7.52.1-5+deb9u6 <none>
2018-06-11 00:18:52 status unpacked libcurl3:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:52 status half-configured libcurl3:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:52 status installed libcurl3:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:52 trigproc install-info:armhf 6.3.0.dfsg.1-1+b1 <none>
2018-06-11 00:18:52 status half-configured install-info:armhf 6.3.0.dfsg.1-1+b1
2018-06-11 00:18:52 status installed install-info:armhf 6.3.0.dfsg.1-1+b1
2018-06-11 00:18:52 configure libcurl3-gnutls:armhf 7.52.1-5+deb9u6 <none>
2018-06-11 00:18:52 status unpacked libcurl3-gnutls:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:52 status half-configured libcurl3-gnutls:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:52 status installed libcurl3-gnutls:armhf 7.52.1-5+deb9u6
2018-06-11 00:18:52 configure pi-bluetooth:all 0.1.8 <none>
2018-06-11 00:18:52 status unpacked pi-bluetooth:all 0.1.8
2018-06-11 00:18:52 status half-configured pi-bluetooth:all 0.1.8
2018-06-11 00:18:55 status installed pi-bluetooth:all 0.1.8
2018-06-11 00:18:55 configure libprocps6:armhf 2:3.3.12-3+deb9u1 <none>
2018-06-11 00:18:55 status unpacked libprocps6:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:55 status half-configured libprocps6:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:55 status installed libprocps6:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:55 configure procps:armhf 2:3.3.12-3+deb9u1 <none>
2018-06-11 00:18:55 status unpacked procps:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:55 status unpacked procps:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:55 status unpacked procps:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:55 status unpacked procps:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:55 status half-configured procps:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:55 status installed procps:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:55 configure raspi-config:all 20180518 <none>
2018-06-11 00:18:55 status unpacked raspi-config:all 20180518
2018-06-11 00:18:55 status unpacked raspi-config:all 20180518
2018-06-11 00:18:56 status unpacked raspi-config:all 20180518
2018-06-11 00:18:56 status half-configured raspi-config:all 20180518
2018-06-11 00:18:56 status installed raspi-config:all 20180518
2018-06-11 00:18:56 trigproc libc-bin:armhf 2.24-11+deb9u3 <none>
2018-06-11 00:18:56 status half-configured libc-bin:armhf 2.24-11+deb9u3
2018-06-11 00:18:57 status installed libc-bin:armhf 2.24-11+deb9u3
2018-06-11 00:18:57 trigproc systemd:armhf 232-25+deb9u2 <none>
2018-06-11 00:18:57 status half-configured systemd:armhf 232-25+deb9u2
2018-06-11 00:18:57 status installed systemd:armhf 232-25+deb9u2
2018-06-11 00:18:57 configure wget:armhf 1.18-5+deb9u2 <none>
2018-06-11 00:18:57 status unpacked wget:armhf 1.18-5+deb9u2
2018-06-11 00:18:57 status unpacked wget:armhf 1.18-5+deb9u2
2018-06-11 00:18:57 status half-configured wget:armhf 1.18-5+deb9u2
2018-06-11 00:18:57 status installed wget:armhf 1.18-5+deb9u2
2018-06-11 00:18:57 trigproc man-db:armhf 2.7.6.1-2 <none>
2018-06-11 00:18:57 status half-configured man-db:armhf 2.7.6.1-2
2018-06-11 00:19:04 status installed man-db:armhf 2.7.6.1-2
2018-06-11 00:19:04 configure curl:armhf 7.52.1-5+deb9u6 <none>
2018-06-11 00:19:04 status unpacked curl:armhf 7.52.1-5+deb9u6
2018-06-11 00:19:04 status half-configured curl:armhf 7.52.1-5+deb9u6
2018-06-11 00:19:04 status installed curl:armhf 7.52.1-5+deb9u6
2018-06-11 00:19:21 startup archives unpack
2018-06-11 00:19:21 install libgirepository-1.0-1:armhf <none> 1.50.0-1
2018-06-11 00:19:21 status triggers-pending libc-bin:armhf 2.24-11+deb9u3
2018-06-11 00:19:21 status half-installed libgirepository-1.0-1:armhf 1.50.0-1
